id,Player,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,Oreb,DR,TR,AST,TOV,BS,EFF,OE,TS,eFG,PPP
39,ジェームズ・マイケル・マカドゥ,10.4,4.22,7.4,0.02,0.1,1.94,3.4,2.34,3.74,6.08,1.28,1.04,0.3,14.24,1.58265582655827,58.4532374100719,0.571621621621622,1.04669887278583
40,ジャスティン・ハーパー,12.3142857142857,4.62857142857143,9.37142857142857,1.22857142857143,3.25714285714286,1.82857142857143,2.28571428571429,1.65714285714286,4.74285714285714,6.4,1.17142857142857,1.31428571428571,0.485714285714286,14.3142857142857,1.32212885154062,59.3337004405286,0.559451219512195,1.05327468230694
41,ジャスティン・バーレル,13.0212765957447,4.91489361702128,8.4468085106383,0.170212765957447,0.446808510638298,3.02127659574468,4.57446808510638,1.40425531914894,6.21276595744681,7.61702127659575,2.76595744680851,1.80851063829787,0.404255319148936,19.8510638297872,1.35897435897436,62.2457282343369,0.591939546599496,1.06139438085328
42,ジャック・クーリー,16.3636363636364,6.07272727272727,10.1272727272727,0.018181818181818,0.2,4.2,5.50909090909091,5,7.32727272727273,12.3272727272727,1.67272727272727,1.61818181818182,0.563636363636364,26.3454545454545,2.14254859611231,65.1871595781667,0.600538599640933,1.15485294872453
43,ジャマリ・トレイラー,12.8620689655172,4.93103448275862,10.1034482758621,0.137931034482759,1.06896551724138,2.86206896551724,3.89655172413793,2.31034482758621,4.48275862068966,6.79310344827586,2.24137931034483,1.86206896551724,1.10344827586207,16.5172413793103,1.2695652173913,54.4176003734827,0.494880546075085,0.940209719701553
44,ジャマール・ソープ,3.5,1.14285714285714,2,0,0.071428571428572,1.21428571428571,1.57142857142857,0.928571428571429,1.21428571428571,2.14285714285714,0.428571428571429,0.571428571428571,0.071428571428572,4.07142857142857,1.89655172413793,65.0212314225053,0.571428571428571,1.07267950963222
45,ジャワッド・ウィリアムズ,10.0408163265306,3.61224489795918,8.77551020408163,1.44897959183673,4.14285714285714,1.36734693877551,1.77551020408163,0.959183673469388,3.16326530612245,4.12244897959184,1.46938775510204,1.10204081632653,0.204081632653061,9.22448979591837,1.10805500982318,52.5326727598872,0.494186046511628,0.942023435704986
46,ジュリアン・マブンガ,19.9090909090909,6.21818181818182,13.3818181818182,2.27272727272727,6.18181818181818,5.2,7.50909090909091,1.09090909090909,6,7.09090909090909,7.14545454545455,3.63636363636364,0.490909090909091,26.6909090909091,1.1725768321513,59.6587194351218,0.549592391304348,0.979672905557742
47,ジョシュア・スミス,15.9811320754717,5.94339622641509,8.43396226415094,0.018867924528302,0.056603773584906,4.07547169811321,5.86792452830189,3.41509433962264,6.24528301886793,9.66037735849057,2.56603773584906,1.54716981132075,0.528301886792453,25.5094339622641,2.03099173553719,72.5369964373801,0.705816554809843,1.27207737594617
48,ジョシュ・スコット,11.7966101694915,4.52542372881356,7.16949152542373,0,0.033898305084746,2.74576271186441,4.33898305084746,3.33898305084746,5,8.33898305084746,0.966101694915254,1.01694915254237,1.32203389830508,19.4067796610169,2.19533527696793,64.9690090359197,0.631205673758865,1.16849103485327
